question,predicted_disease
Is it normal to have swelling along with nausea?,Blood clot
I've had weight loss since last night. Could it be due to seasonal changes?,Hyperthyroidism
"Whenever I walking, I experience chest pain. Is this a medical condition?",Pneumonia
I've been dealing with swelling for a week now. What should I do?,Arthritis
Is it normal to have chest pain along with headache?,GERD
My stomach has been abdominal pain. What could be causing this?,Gastritis
I've been feeling sweating for the past few days. What could be the reason?,Anxiety
Could weakness be related to high sugar intake?,Neuropathy
I've been feeling headache for the past few days. What could be the reason?,Tension headache
Experiencing blisters along with mild discomfort. Do I need to see a doctor?,Chickenpox
My arms has been wheezing. What could be causing this?,Bronchitis
I've had cough since last night. Could it be due to dehydration?,Tuberculosis
Could itching be related to smoking?,Eczema
Could blurred vision be related to high sugar intake?,Stroke
Is it normal to have blurred vision along with dizziness?,Diabetes
"Whenever I exercising, I experience vomiting. Is this a medical condition?",Motion sickness
I've been dealing with headache for a week now. What should I do?,Meningitis
I've had difficulty breathing since last night. Could it be due to stress?,Heart failure
I've had congestion since last night. Could it be due to lack of sleep?,Sinusitis
Is it normal to have vomiting along with headache?,Migraine
I've been feeling diarrhea for the past few days. What could be the reason?,Cholera
Could difficulty breathing be related to alcohol consumption?,Heart failure
Could weakness be related to lack of exercise?,Myasthenia gravis
Is it normal to have bloating along with fatigue?,IBS
I've had sweating since last night. Could it be due to dehydration?,Menopause
Experiencing joint pain along with mild discomfort. Do I need to see a doctor?,Gout
I've been feeling chest pain for the past few days. What could be the reason?,GERD
I've had fatigue since last night. Could it be due to dehydration?,Anemia
"Whenever I exercising, I experience swelling. Is this a medical condition?",Blood clot
Can fatigue be a sign of something serious?,Anemia
Is it normal to have nausea along with nausea?,Acid reflux
Can blisters be a sign of something serious?,Contact dermatitis
Can chest pain be a sign of something serious?,Angina
I've been feeling numbness for the past few days. What could be the reason?,Peripheral neuropathy
"Recently, I noticed diarrhea, and it's getting worse. Should I be concerned?",Cholera
"Recently, I noticed fatigue, and it's getting worse. Should I be concerned?",Chronic Fatigue Syndrome
Can insomnia be a sign of something serious?,Depression
I've had joint pain since last night. Could it be due to infection?,Rheumatoid arthritis
Could joint pain be related to smoking?,Arthritis
I've been dealing with blisters for a week now. What should I do?,Contact dermatitis
I've had weakness since last night. Could it be due to stress?,Myasthenia gravis
Could constipation be related to alcohol consumption?,Colon obstruction
I've been dealing with shortness of breath for a week now. What should I do?,COPD
"Recently, I noticed sweating, and it's getting worse. Should I be concerned?",Menopause
Can rash be a sign of something serious?,Chickenpox
My chest has been rash. What could be causing this?,Allergic reaction
I've had bloating since last night. Could it be due to seasonal changes?,Celiac disease
Experiencing sweating along with mild discomfort. Do I need to see a doctor?,Hyperthyroidism
My head has been loss of appetite. What could be causing this?,Hepatitis
I've been feeling stomach cramps for the past few days. What could be the reason?,Gastritis
I've been dealing with itching for a week now. What should I do?,Kidney disease
Experiencing memory loss along with mild discomfort. Do I need to see a doctor?,Brain tumor
I've had wheezing since last night. Could it be due to poor diet?,COPD
My legs has been itching. What could be causing this?,Kidney disease
Could chills be related to high sugar intake?,Pneumonia
"Whenever I climbing stairs, I experience bloating. Is this a medical condition?",IBS
Could chest pain be related to alcohol consumption?,Heart attack
Can numbness be a sign of something serious?,Peripheral neuropathy
I've been dealing with loss of appetite for a week now. What should I do?,Gastroenteritis
I've been dealing with memory loss for a week now. What should I do?,Alzheimers
"Recently, I noticed seizures, and it's getting worse. Should I be concerned?",Stroke
Can chills be a sign of something serious?,COVID-19
I've had chest pain since last night. Could it be due to poor diet?,GERD
"Recently, I noticed chills, and it's getting worse. Should I be concerned?",Pneumonia
I've been feeling nausea for the past few days. What could be the reason?,Gastroenteritis
I've had rash since last night. Could it be due to stress?,Chickenpox
Experiencing itching along with mild discomfort. Do I need to see a doctor?,Kidney disease
My legs has been wheezing. What could be causing this?,Asthma
Is it normal to have high fever along with headache?,Typhoid fever
I've had wheezing since last night. Could it be due to dehydration?,Asthma
I've had sweating since last night. Could it be due to infection?,Hyperthyroidism
Could swelling be related to alcohol consumption?,Blood clot
I've been feeling chills for the past few days. What could be the reason?,Malaria
Experiencing insomnia along with mild discomfort. Do I need to see a doctor?,Restless leg syndrome
I've been feeling loss of appetite for the past few days. What could be the reason?,Cancer
Can chest pain be a sign of something serious?,Heart attack
Can insomnia be a sign of something serious?,Restless leg syndrome
"Recently, I noticed nausea, and it's getting worse. Should I be concerned?",Gastroenteritis
Experiencing sweating along with mild discomfort. Do I need to see a doctor?,Tuberculosis
Experiencing bloating along with mild discomfort. Do I need to see a doctor?,IBS
My stomach has been dizziness. What could be causing this?,Low blood pressure
I've been dealing with cough for a week now. What should I do?,Tuberculosis
My arms has been loss of appetite. What could be causing this?,Gastroenteritis
"Whenever I sitting for long hours, I experience excessive thirst. Is this a medical condition?",Kidney disease
Is it normal to have bloating along with weakness?,IBS
"Whenever I walking, I experience headache. Is this a medical condition?",Tension headache
Is it normal to have high fever along with nausea?,Typhoid fever
Is it normal to have wheezing along with dizziness?,COPD
